Player,Primary_Pos,Club,League,Age,Market_Value_EUR,Predicted_Value,Gap,Value_Ratio
NicolÃ¡s Paz,MF,Como,it Serie A,20.0,400000,60467804.0,60067804.0,151.16951
Dani Olmo,MF,Barcelona,es La Liga,27.0,60000000,99509330.0,39509328.0,1.6584888
Marcus Tavernier,MF,Bournemouth,eng Premier League,26.0,25000000,55559012.0,30559012.0,2.22236048
Amad Diallo,MF,Manchester Utd,eng Premier League,23.0,45000000,74152720.0,29152720.0,1.6478382222222223
RaÃºl Asencio,DF,Real Madrid,es La Liga,22.0,20000000,47036180.0,27036180.0,2.351809
Samson Baidoo,DF,Lens,fr Ligue 1,21.0,25000000,51584700.0,26584700.0,2.063388
Maximilian Beier,MF,Dortmund,de Bundesliga,22.0,40000000,65129616.0,25129616.0,1.6282404
Francisco ConceiÃ§Ã£o,MF,Juventus,it Serie A,22.0,30000000,53668868.0,23668868.0,1.7889622666666667
Lucas Da Cunha,MF,Como,it Serie A,24.0,20000000,43540536.0,23540536.0,2.1770268
Assan Ouedraogo,MF,RB Leipzig,de Bundesliga,19.0,28000000,51150864.0,23150864.0,1.8268165714285713
Daniel Svensson,MF,Dortmund,de Bundesliga,23.0,22000000,44518604.0,22518604.0,2.023572909090909
Tom Bischof,DF,Bayern Munich,de Bundesliga,20.0,40000000,62092970.0,22092968.0,1.5523242
Mamadou Sangare,MF,Lens,fr Ligue 1,23.0,40000000,61973584.0,21973584.0,1.5493396
Trai Hume,DF,Sunderland,eng Premier League,23.0,22000000,43724540.0,21724540.0,1.987479090909091
Joshua King,MF,Fulham,eng Premier League,18.0,1200000,22586464.0,21386464.0,18.822053333333333
Neco Williams,DF,Nottingham Forest,eng Premier League,24.0,28000000,47094620.0,19094620.0,1.6819507142857142
Lennart Karl,MF,Bayern Munich,de Bundesliga,17.0,60000000,79013490.0,19013488.0,1.3168914666666667
Dro FernÃ¡ndez,MF,Paris Saint-Germain,fr Ligue 1,17.0,10000000,28456604.0,18456604.0,2.8456604
Chema,MF,Stuttgart,de Bundesliga,20.0,150000,18542124.0,18392124.0,123.61416
Ange-Yoan Bonny,FW,Inter,it Serie A,21.0,35000000,52475852.0,17475852.0,1.499310057142857
Odsonne Ã‰douard,FW,Lens,fr Ligue 1,27.0,12000000,28626888.0,16626888.0,2.385574
Dango Ouattara,MF,Brentford,eng Premier League,23.0,35000000,50869196.0,15869196.0,1.4534056
Mats Wieffer,DF,Brighton,eng Premier League,25.0,25000000,40836910.0,15836912.0,1.63347648
Igor Jesus,FW,Nottingham Forest,eng Premier League,24.0,25000000,40826320.0,15826320.0,1.6330528
GonÃ§alo Ramos,FW,Paris Saint-Germain,fr Ligue 1,24.0,30000000,45815756.0,15815756.0,1.5271918666666666
Evanilson,FW,Bournemouth,eng Premier League,25.0,35000000,50615820.0,15615820.0,1.4461662857142856
Enzo Le FÃ©e,MF,Sunderland,eng Premier League,25.0,28000000,43548260.0,15548260.0,1.555295
Jonas Urbig,GK,Bayern Munich,de Bundesliga,21.0,18000000,33512556.0,15512556.0,1.8618086666666667
Ivan SmolÄiÄ‡,DF,Como,it Serie A,24.0,3500000,19002048.0,15502048.0,5.429156571428571
Ozan Kabak,DF,Hoffenheim,de Bundesliga,25.0,15000000,30411676.0,15411676.0,2.0274450666666666
Jacobo RamÃ³n,DF,Como,it Serie A,20.0,30000000,45164076.0,15164076.0,1.5054692
SÃ¡vio,MF,Manchester City,eng Premier League,21.0,200000,15176594.0,14976594.0,75.88297
Georges Mikautadze,FW,Villarreal,es La Liga,24.0,30000000,44796370.0,14796368.0,1.4932122666666667
Adrien Truffert,DF,Bournemouth,eng Premier League,23.0,30000000,44436996.0,14436996.0,1.4812332
Felix Nmecha,MF,Dortmund,de Bundesliga,24.0,50000000,64427092.0,14427092.0,1.28854184
Alexis Saelemaekers,MF,Milan,it Serie A,26.0,20000000,34212336.0,14212336.0,1.7106168
Nikolas Nartey,MF,Stuttgart,de Bundesliga,25.0,10000000,24081808.0,14081808.0,2.4081808
Tim Lemperle,FW,Hoffenheim,de Bundesliga,23.0,17000000,30833960.0,13833960.0,1.8137623529411764
Anastasios Douvikas,FW,Como,it Serie A,25.0,25000000,38624028.0,13624028.0,1.54496112
Ãlex Valle,DF,Como,it Serie A,21.0,12000000,25570540.0,13570540.0,2.1308783333333334
Devyne Rensch,MF,Roma,it Serie A,22.0,8500000,21762244.0,13262244.0,2.560264
RÃ´mulo,FW,RB Leipzig,de Bundesliga,23.0,30000000,43171220.0,13171220.0,1.4390406666666666
Eric GarcÃ­a,DF,Barcelona,es La Liga,24.0,40000000,53122680.0,13122680.0,1.328067
Anton Stach,MF,Leeds United,eng Premier League,26.0,28000000,40861690.0,12861688.0,1.459346
NicolÃ² Savona,DF,Nottingham Forest,eng Premier League,22.0,15000000,27845324.0,12845324.0,1.8563549333333333
Diego GÃ³mez,MF,Brighton,eng Premier League,22.0,25000000,37813452.0,12813452.0,1.51253808
Jake O'Brien,DF,Everton,eng Premier League,24.0,18000000,30644936.0,12644936.0,1.7024964444444444
Keane Lewis-Potter,DF,Brentford,eng Premier League,24.0,25000000,37597984.0,12597984.0,1.50391936
Jayden Bogle,MF,Leeds United,eng Premier League,25.0,15000000,27494368.0,12494368.0,1.8329578666666666
Josip StaniÅ¡iÄ‡,DF,Bayern Munich,de Bundesliga,25.0,40000000,52426732.0,12426732.0,1.3106683
Mikkel Damsgaard,MF,Brentford,eng Premier League,25.0,30000000,42425132.0,12425132.0,1.4141710666666667
Antonio Nusa,FW,RB Leipzig,de Bundesliga,20.0,32000000,44331428.0,12331428.0,1.385357125
Arthur,MF,Leverkusen,de Bundesliga,22.0,8000000,20218512.0,12218512.0,2.527314
Luis Henrique,MF,Inter,it Serie A,23.0,22000000,33990540.0,11990540.0,1.5450245454545455
FÃ©lix Correia,MF,Lille,fr Ligue 1,24.0,10000000,21987924.0,11987924.0,2.1987924
Tajon Buchanan,MF,Villarreal,es La Liga,26.0,12000000,23910268.0,11910268.0,1.9925223333333333
Matty Cash,DF,Aston Villa,eng Premier League,27.0,22000000,33810850.0,11810848.0,1.5368567272727274
Rodrigo Muniz,FW,Fulham,eng Premier League,24.0,20000000,31621028.0,11621028.0,1.5810514
Jack Hinshelwood,MF,Brighton,eng Premier League,20.0,28000000,39618784.0,11618784.0,1.4149565714285715
Tanner Tessmann,MF,Lyon,fr Ligue 1,23.0,10000000,21435520.0,11435520.0,2.143552
Abner,DF,Lyon,fr Ligue 1,25.0,10000000,21429060.0,11429060.0,2.142906
Berke Ã–zer,GK,Lille,fr Ligue 1,25.0,10000000,21122964.0,11122964.0,2.1122964
Ãlex JimÃ©nez,DF,Bournemouth,eng Premier League,20.0,22000000,33109996.0,11109996.0,1.5049998181818183
Robin HranÃ¡Ä,DF,Hoffenheim,de Bundesliga,25.0,10000000,20912384.0,10912384.0,2.0912384
Ãlvaro RodrÃ­guez,FW,Elche,es La Liga,21.0,10000000,20824140.0,10824140.0,2.082414
Jean Butez,GK,Como,it Serie A,30.0,8000000,18756292.0,10756292.0,2.3445365
Matthieu Udol,MF,Lens,fr Ligue 1,29.0,8000000,18640060.0,10640060.0,2.3300075
Kamory Doumbia,MF,Brest,fr Ligue 1,22.0,9000000,19567656.0,10567656.0,2.174184
MatÃ¬as SoulÃ©,MF,Roma,it Serie A,22.0,35000000,45499120.0,10499120.0,1.299974857142857
Nathan Tella,MF,Leverkusen,de Bundesliga,26.0,15000000,25102232.0,10102232.0,1.6734821333333334
Patrick Dorgu,MF,Manchester Utd,eng Premier League,20.0,35000000,45005332.0,10005332.0,1.2858666285714286
Konrad Laimer,DF,Bayern Munich,de Bundesliga,28.0,32000000,41929504.0,9929504.0,1.310297
Santiago Hidalgo,MF,Toulouse,fr Ligue 1,20.0,6000000,15900202.0,9900202.0,2.650033666666667
GermÃ¡n Valera,MF,Elche,es La Liga,23.0,6000000,15841959.0,9841959.0,2.6403265
Romain Perraud,DF,Lille,fr Ligue 1,27.0,7000000,16762662.0,9762662.0,2.394666
Tani Oluwaseyi,FW,Villarreal,es La Liga,25.0,7000000,16745182.0,9745182.0,2.392168857142857
Bukayo Saka,FW,Arsenal,eng Premier League,23.0,110000000,119702170.0,9702168.0,1.0882015272727272
